data,regiao,num,precipitac,ttmax,ttmin,sol,ttmed,ttumid,mes,dia,semana,ena,pld,range
"01/2016","NE",2644,8.398,27.911,22.066,4.503,22.641,67.707,"","","",39.880,35.660,"Range-01"
"03/2016","NE",2662,3.547,29.748,22.157,6.737,23.168,64.145,"","","",48.610,37.730,"Range-01"
"04/2016","NE",2577,2.608,29.121,21.787,6.796,23.173,63.002,"","","",47.380,49.420,"Range-02"
"05/2016","NE",2701,2.511,28.550,21.130,6.868,22.485,62.117,"","","",37.510,75.930,"Range-04"
"06/2016","NE",2584,1.495,28.288,20.365,7.299,21.836,60.493,"","","",34.450,61.320,"Range-03"
"07/2016","NE",2439,0.816,27.000,19.415,7.720,20.965,57.109,"","","",42.060,83.430,"Range-05"
"08/2016","NE",2658,0.635,28.477,19.557,8.029,21.472,55.304,"","","",39.960,115.580,"Range-07"
"09/2016","NE",2538,0.742,29.082,20.602,7.737,22.428,55.920,"","","",50.290,149.020,"Range-10"
"10/2016","NE",2616,0.880,29.784,21.525,8.068,23.345,55.704,"","","",56.160,200.210,"Range-14"
"11/2016","NE",2483,1.569,29.671,21.832,7.486,23.193,54.858,"","","",56.330,166.050,"Range-11"
"12/2016","NE",2590,1.965,28.620,21.839,6.555,22.547,56.178,"","","",63.610,122.190,"Range-08"
"01/2017","NE",2469,2.412,28.983,21.363,7.134,22.714,58.815,"","","",58.410,121.440,"Range-08"
"03/2017","NE",2613,4.684,27.836,21.180,5.879,22.184,65.590,"","","",95.190,216.240,"Range-15"
"04/2017","NE",2588,4.546,27.568,20.958,6.560,21.691,63.417,"","","",84.810,371.470,"Range-28"
"05/2017","NE",2676,3.672,27.184,20.317,6.204,21.142,61.612,"","","",65.200,411.490,"Range-31"
"06/2017","NE",2553,2.485,26.154,19.445,6.445,20.283,60.939,"","","",60.490,124.700,"Range-08"
"07/2017","NE",2533,3.180,24.799,18.067,5.907,18.934,57.077,"","","",58.800,280.810,"Range-20"
"08/2017","NE",2622,0.884,27.206,18.600,7.559,20.271,54.516,"","","",54.090,505.950,"Range-38"
"09/2017","NE",2598,1.226,27.644,19.286,7.554,20.181,51.376,"","","",52.580,521.830,"Range-40"
"10/2017","NE",2659,0.568,29.007,20.372,7.686,21.345,48.704,"","","",43.850,533.820,"Range-40"
"11/2017","NE",2575,1.710,28.479,20.672,6.782,20.859,52.146,"","","",51.700,425.170,"Range-32"
"12/2017","NE",2479,2.122,28.133,20.972,5.951,20.767,53.396,"","","",76.850,235.070,"Range-17"
"01/2018","NE",2308,2.852,25.615,20.840,5.542,19.908,51.892,"","","",63.070,180.070,"Range-12"
"02/2018","NE",2090,6.601,24.845,20.416,4.808,19.323,59.638,"","","",97.810,188.790,"Range-13"
"03/2018","NE",2401,4.828,24.841,21.010,5.354,19.605,59.647,"","","",98.850,219.230,"Range-16"
"04/2018","NE",2329,5.588,23.841,19.661,4.789,18.665,59.561,"","","",103.350,109.710,"Range-07"
"05/2018","NE",2478,2.789,24.506,19.385,5.461,19.109,58.475,"","","",80.880,325.460,"Range-24"
"06/2018","NE",2390,1.753,24.788,18.359,6.107,18.932,56.020,"","","",68.350,472.870,"Range-36"
"07/2018","NE",2371,1.189,24.786,17.796,6.357,18.712,53.617,"","","",72.000,505.180,"Range-38"
"08/2018","NE",2424,0.552,25.979,18.442,6.857,19.507,51.367,"","","",70.200,505.180,"Range-38"
"09/2018","NE",2305,0.499,27.171,19.252,6.949,20.237,49.556,"","","",72.410,472.750,"Range-36"
"10/2018","NE",2372,1.102,27.906,20.792,6.580,20.923,51.842,"","","",59.470,271.830,"Range-20"
"11/2018","NE",2298,2.277,27.174,20.948,5.989,20.811,54.494,"","","",69.150,123.920,"Range-08"
"12/2018","NE",2377,3.845,25.809,20.253,5.733,19.715,60.357,"","","",111.230,78.960,"Range-04"
"02/2016","NE",2438,2.180,29.274,21.584,7.520,22.992,63.825,"","","",58.150,30.420,"Range-01"
"02/2017","NE",2377,5.000,27.825,21.158,5.742,22.031,63.197,"","","",94.440,128.430,"Range-08"
"01/2016","N",1115,5.874,29.979,23.276,3.612,24.773,76.657,"","","",39.880,35.660,"Range-01"
"02/2016","N",956,7.978,28.826,23.635,4.123,24.746,80.279,"","","",58.150,30.420,"Range-01"
"03/2016","N",1040,11.222,28.579,23.069,3.050,24.182,79.823,"","","",48.610,37.730,"Range-01"
"04/2016","N",999,9.722,31.322,22.829,3.720,25.397,80.877,"","","",47.380,49.420,"Range-02"
"05/2016","N",1021,7.006,31.605,22.980,4.199,25.808,80.825,"","","",37.510,75.930,"Range-04"
"06/2016","N",976,5.165,32.196,22.216,5.288,25.931,79.463,"","","",34.450,61.320,"Range-03"
"08/2016","N",1026,2.035,33.500,22.355,5.662,26.411,73.076,"","","",39.960,115.580,"Range-07"
"09/2016","N",932,3.109,33.167,22.687,5.740,26.316,75.439,"","","",50.290,149.020,"Range-10"
"10/2016","N",868,5.018,33.617,23.383,5.449,27.592,78.465,"","","",56.160,200.210,"Range-14"
"11/2016","N",930,4.326,32.831,23.045,5.017,26.488,77.837,"","","",56.330,166.050,"Range-11"
"12/2016","N",958,9.305,30.910,22.310,3.685,25.220,80.206,"","","",63.610,122.190,"Range-08"
"01/2017","N",975,11.687,30.585,22.211,3.374,25.264,84.048,"","","",58.410,121.440,"Range-08"
"02/2017","N",880,13.231,30.210,21.996,2.885,25.132,83.432,"","","",94.440,128.430,"Range-08"
"03/2017","N",999,11.533,29.716,21.704,3.215,24.704,81.689,"","","",95.190,216.240,"Range-15"
"04/2017","N",968,9.884,29.934,22.125,3.835,24.746,80.903,"","","",84.810,371.470,"Range-28"
"05/2017","N",1021,6.467,29.748,22.121,4.947,24.568,78.779,"","","",65.200,411.490,"Range-31"
"06/2017","N",981,4.641,28.771,21.267,5.084,23.590,78.007,"","","",60.490,124.700,"Range-08"
"07/2017","N",985,3.467,27.599,19.358,5.735,21.764,71.936,"","","",58.800,280.810,"Range-20"
"08/2017","N",1013,2.017,28.513,19.923,6.281,21.354,68.465,"","","",54.090,505.950,"Range-38"
"09/2017","N",976,2.819,27.816,19.841,5.382,20.916,68.830,"","","",52.580,521.830,"Range-40"
"10/2017","N",1040,3.665,27.785,19.662,5.255,20.997,71.686,"","","",43.850,533.820,"Range-40"
"11/2017","N",988,4.656,27.673,20.379,4.900,21.547,71.633,"","","",51.700,425.170,"Range-32"
"12/2017","N",964,8.105,24.252,19.316,3.474,19.829,73.475,"","","",76.850,235.070,"Range-17"
"01/2018","N",917,8.193,24.224,17.930,4.078,18.730,77.339,"","","",63.070,180.070,"Range-12"
"02/2018","N",870,12.461,24.641,17.929,2.902,18.586,78.049,"","","",97.810,188.790,"Range-13"
"03/2018","N",1047,8.647,27.971,19.320,3.818,20.436,79.953,"","","",98.850,219.230,"Range-16"
"04/2018","N",1010,12.123,28.108,19.595,3.216,20.702,83.891,"","","",103.350,109.710,"Range-07"
"05/2018","N",1020,8.036,28.336,19.969,3.950,21.245,81.075,"","","",80.880,325.460,"Range-24"
"06/2018","N",995,4.264,26.582,18.650,5.019,19.849,74.438,"","","",68.350,472.870,"Range-36"
"07/2018","N",1024,4.518,26.554,17.620,5.100,19.450,73.057,"","","",72.000,505.180,"Range-38"
"08/2018","N",975,3.150,28.438,19.129,5.884,20.815,72.945,"","","",70.200,505.180,"Range-38"
"09/2018","N",1000,3.191,27.081,19.485,5.664,19.874,73.175,"","","",72.410,472.750,"Range-36"
"10/2018","N",987,2.939,27.759,20.745,5.790,20.293,74.451,"","","",59.470,271.830,"Range-20"
"11/2018","N",1000,6.346,26.140,20.237,4.280,19.463,76.580,"","","",69.150,123.920,"Range-08"
"12/2018","N",995,9.423,24.638,19.675,3.021,18.475,81.519,"","","",111.230,78.960,"Range-04"
"01/2016","SE",2547,11.641,26.349,20.176,2.986,20.177,70.538,"","","",196.350,35.660,"Range-01"
"02/2016","SE",2323,3.870,29.051,20.173,5.503,21.053,61.001,"","","",164.650,30.420,"Range-01"
"03/2016","SE",2444,4.961,27.745,19.989,4.576,20.521,63.805,"","","",208.950,37.730,"Range-01"
"04/2016","SE",2433,0.943,27.778,18.653,5.877,19.765,56.500,"","","",145.800,49.420,"Range-02"
"05/2016","SE",2463,0.732,25.142,16.387,5.051,17.537,59.364,"","","",126.420,75.930,"Range-04"
"06/2016","SE",2433,1.286,23.847,14.265,4.995,15.690,57.730,"","","",93.780,61.320,"Range-03"
"07/2016","SE",2447,0.097,25.834,13.636,5.993,16.654,49.002,"","","",95.980,83.430,"Range-05"
"08/2016","SE",2435,0.585,27.309,14.848,5.761,17.723,49.433,"","","",113.340,115.580,"Range-07"
"09/2016","SE",2320,1.349,29.066,16.946,5.305,19.614,48.431,"","","",75.060,149.020,"Range-10"
"10/2016","SE",2418,3.159,28.728,18.289,4.766,20.082,57.648,"","","",92.020,200.210,"Range-14"
"11/2016","SE",2352,7.497,27.009,18.686,3.758,19.241,64.788,"","","",70.950,166.050,"Range-11"
"12/2016","SE",2396,6.348,28.323,19.446,4.397,20.267,65.381,"","","",98.810,122.190,"Range-08"
"01/2017","SE",2413,5.567,28.449,19.441,4.533,20.771,56.216,"","","",153.830,121.440,"Range-08"
"02/2017","SE",2166,6.286,27.617,19.216,4.248,20.315,65.389,"","","",101.420,128.430,"Range-08"
"03/2017","SE",2384,4.707,28.105,18.979,4.828,20.539,65.084,"","","",84.530,216.240,"Range-15"
"04/2017","SE",2296,2.727,26.833,18.245,4.810,19.718,64.159,"","","",82.970,371.470,"Range-28"
"05/2017","SE",2410,1.815,25.731,16.741,4.818,18.338,63.555,"","","",167.000,411.490,"Range-31"
"06/2017","SE",2280,0.594,24.968,14.634,5.542,16.778,58.878,"","","",269.770,124.700,"Range-08"
"07/2017","SE",2322,0.238,23.738,12.596,5.922,15.595,51.631,"","","",38.550,280.810,"Range-20"
"08/2017","SE",2370,0.271,26.904,14.334,5.911,17.777,46.494,"","","",51.280,505.950,"Range-38"
"09/2017","SE",2251,0.471,27.919,16.132,6.142,19.063,42.385,"","","",22.960,521.830,"Range-40"
"10/2017","SE",2246,2.512,28.369,18.397,5.163,20.082,49.877,"","","",81.270,533.820,"Range-40"
"11/2017","SE",2155,6.823,25.829,18.595,3.692,18.905,63.950,"","","",127.770,425.170,"Range-32"
"12/2017","SE",2153,8.100,26.096,19.450,3.482,19.342,70.143,"","","",86.910,235.070,"Range-17"
"01/2018","SE",2147,6.373,27.254,19.120,4.288,19.536,60.917,"","","",188.250,180.070,"Range-12"
"02/2018","SE",2042,8.313,26.334,19.239,3.906,19.481,66.930,"","","",87.000,188.790,"Range-13"
"03/2018","SE",2243,5.691,27.298,19.481,4.743,19.697,65.169,"","","",94.820,219.230,"Range-16"
"04/2018","SE",2120,3.407,25.843,17.748,4.463,18.422,66.169,"","","",92.130,109.710,"Range-07"
"05/2018","SE",2226,0.829,25.142,15.374,5.428,16.785,59.486,"","","",36.080,325.460,"Range-24"
"06/2018","SE",2094,0.272,25.216,14.813,5.148,16.869,58.772,"","","",48.460,472.870,"Range-36"
"07/2018","SE",2009,0.109,25.600,13.246,6.004,16.863,52.307,"","","",59.230,505.180,"Range-38"
"08/2018","SE",2099,1.020,25.853,15.738,4.997,17.733,51.488,"","","",47.370,505.180,"Range-38"
"09/2018","SE",1980,1.410,28.229,17.339,4.944,19.779,50.069,"","","",98.770,472.750,"Range-36"
"10/2018","SE",2053,4.761,27.150,19.728,3.747,20.173,60.196,"","","",119.700,271.830,"Range-20"
"11/2018","SE",1964,7.890,25.368,19.243,3.038,18.943,66.136,"","","",112.810,123.920,"Range-08"
"12/2018","SE",1800,6.677,25.977,19.531,4.164,20.212,61.164,"","","",78.680,78.960,"Range-04"
"01/2016","S",889,4.917,27.531,19.584,6.294,22.319,72.078,"","","",196.350,35.660,"Range-01"
"02/2016","S",800,7.349,26.113,19.978,5.632,21.244,72.257,"","","",164.650,30.420,"Range-01"
"03/2016","S",870,6.309,23.108,16.816,5.470,18.328,70.602,"","","",208.950,37.730,"Range-01"
"04/2016","S",775,6.198,23.361,17.425,4.822,18.382,71.015,"","","",145.800,49.420,"Range-02"
"05/2016","S",875,3.969,17.287,11.394,3.412,12.968,74.999,"","","",126.420,75.930,"Range-04"
"06/2016","S",850,1.818,15.394,7.664,4.592,10.170,71.126,"","","",93.780,61.320,"Range-03"
"07/2016","S",875,3.859,17.841,9.492,5.166,12.268,69.379,"","","",95.980,83.430,"Range-05"
"08/2016","S",863,4.534,19.274,11.030,5.110,13.701,66.598,"","","",113.340,115.580,"Range-07"
"09/2016","S",849,2.249,20.116,10.941,6.276,14.135,65.566,"","","",75.060,149.020,"Range-10"
"10/2016","S",848,7.394,21.652,13.861,4.995,15.901,71.083,"","","",92.020,200.210,"Range-14"
"11/2016","S",829,3.467,25.677,15.210,7.005,19.324,63.687,"","","",70.950,166.050,"Range-11"
"12/2016","S",857,5.305,27.514,18.256,5.804,21.968,65.583,"","","",98.810,122.190,"Range-08"
"01/2017","S",822,6.624,29.116,19.541,6.313,23.437,68.489,"","","",153.830,121.440,"Range-08"
"02/2017","S",738,5.109,30.049,20.198,6.451,24.230,68.389,"","","",101.420,128.430,"Range-08"
"03/2017","S",812,5.133,27.542,17.824,5.960,21.782,68.781,"","","",84.530,216.240,"Range-15"
"04/2017","S",776,4.986,24.307,15.049,5.020,18.832,69.478,"","","",82.970,371.470,"Range-28"
"05/2017","S",747,8.082,21.938,14.386,3.455,17.421,74.755,"","","",167.000,411.490,"Range-31"
"06/2017","S",723,5.036,20.729,11.444,4.811,15.106,73.266,"","","",269.770,124.700,"Range-08"
"07/2017","S",747,0.623,21.584,10.214,6.576,14.748,66.811,"","","",38.550,280.810,"Range-20"
"08/2017","S",717,4.444,21.975,11.815,5.860,15.676,66.970,"","","",51.280,505.950,"Range-38"
"09/2017","S",708,3.662,25.856,15.531,5.162,19.794,66.764,"","","",22.960,521.830,"Range-40"
"10/2017","S",672,7.537,24.148,14.614,5.020,18.690,68.373,"","","",81.270,533.820,"Range-40"
"11/2017","S",687,4.394,25.713,14.615,7.376,19.571,59.198,"","","",127.770,425.170,"Range-32"
"12/2017","S",668,4.248,28.337,18.273,6.526,22.042,62.469,"","","",86.910,235.070,"Range-17"
"01/2018","S",661,7.544,28.486,19.166,5.774,23.058,67.519,"","","",188.250,180.070,"Range-12"
"02/2018","S",612,3.030,27.847,17.455,7.189,21.937,63.421,"","","",87.000,188.790,"Range-13"
"03/2018","S",675,5.581,27.852,17.948,5.663,21.994,67.054,"","","",94.820,219.230,"Range-16"
"04/2018","S",641,2.392,26.967,17.339,6.255,20.966,65.057,"","","",92.130,109.710,"Range-07"
"05/2018","S",679,2.540,22.655,13.362,4.712,16.989,65.562,"","","",36.080,325.460,"Range-24"
"06/2018","S",598,3.947,18.757,9.708,3.796,13.420,73.653,"","","",48.460,472.870,"Range-36"
"07/2018","S",637,3.893,19.749,10.503,4.198,14.211,69.847,"","","",59.230,505.180,"Range-38"
"08/2018","S",655,3.489,19.560,9.524,4.856,13.746,66.037,"","","",47.370,505.180,"Range-38"
"09/2018","S",634,5.728,23.479,14.267,4.837,18.102,67.521,"","","",98.770,472.750,"Range-36"
"10/2018","S",644,6.128,24.222,15.083,5.268,18.989,66.634,"","","",119.700,271.830,"Range-20"
"11/2018","S",614,4.725,27.268,16.965,6.784,21.546,62.885,"","","",112.810,123.920,"Range-08"
"12/2018","S",623,4.334,29.199,17.861,7.545,22.475,61.921,"","","",78.680,78.960,"Range-04"
"07/2016","N",961,3.872,32.982,22.440,5.292,26.137,76.976,"","","",42.060,83.430,"Range-05"
